"title","content","date","variant","images","verified","author","rating","product","url"
"Fav of picky kitty","Our kitty only likes gravy style.  It’s hard to find retail so we appreciate being able to order","05 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Sherri 456","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Cat loves it","My cat won't eat any other canned food.  She refuses to eat pate version of this too but loves the flaky bits.  The price is a bit higher than some canned foods but if the kitty is happy, then fine.  The portion size is a little too much for one cat, but we also give her dry food with it.","04 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Robin Q","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"that your cat likes it","cat likes seafood the best.  he does eat the others","04 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","arlene","4.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"My Sadie Love it!","Our kitty loves fancy feast.  However, for whatever reason the grocery stores are not supplying wet cat food of any kind in boxes.  Hence, Amazon to the rescue for Sadie.","04 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","G. Sunderlin","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"My Kitties like it","My Kitties like Fancy Feast.","04 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Ronald S.","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Great cat food","Just the right amount for one cat. My cat loves the turkey flavor.","03 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Sugar B","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Great Selection","No dislikes at all! Great selection of food and my Cat loves them all.","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Charlie Wiseman","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Great item, just got too pricey","Great item!  Cats loved it- just got too pricey for us.","02 May 2022","Size: 3 Ounce (Pack of 30) Color: Poultry & Beef - 10 Cans Each","","Yes","Erin L McClurg","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Not the product, but the container","It's always shipped in a larger box, but this is the second time that when I open that box, the cat food container itself is torn apart. So I have to deal with 24 individual cans of cat food  have to be dealt with rather than just left in the box.  I know the Fancy Feast boxes aren't torn up sitting on the shelf at the warehouse, so how does this happen and why?","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Gale","4.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Purina Fancy Feast Gravey Wet","My Cat love it","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","john j bergen","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=1&sortBy=recent#reviews-filter-bar
"
"Kitty like and kitty crazy doesn’t like anything","I have Princess give me food … not just any food it has to smell right look right taste right otherwise she’ll cry and scream and drag or knock over her cat food bowl no cat proof bowl is safe from her … trust me this cat food has made my life easier quieter and her royal highness is pleased  all is good with the world …","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Antonio Del Castillo","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
"The only cat food my cats preferer","Most of our local stores have a hard time keeping the shelves stocked with this cat food.  That is why I love the subscribe and save, my cats are very picky and love the gravy lovers fancy feast.","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","shana brownell","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
"One can was busted open","One of the cans had busted during shipping it really stunk","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Scott Crisp","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
"Cats got food poisoning","I’ve feeding my cats with this food for a few years, but there was something super wrong with the last box: gave one can to the cats and both cats now have diarrhea and are throwing up the food. The whole box goes to trash, not risking it.","02 May 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","Olga","1.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
"Cat food","For the value it is GREAT!!! Thank you!!!!","30 Apr 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","linda ronemus this is an amazing show. i really got hooked on it. i look forward now to sunday night","5.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
"poison","my cat loved the fancy feast grilled food. and thrived on it. then in error i ordered the gravy lovers.  i tried for the second time {gave it to her some years ago} but she would vomit it up every time. so i never gave it to her again. so by mistake, i ordered the gravy lovers food and took the chance. well, i could hang myself as she stopped eating or drinking for 3 days. until she died right in front of me. in a very horrifying way.  this stuff should be taken off the market.  it is poison to elderly cats.  i should sue the company.  i am devastated.","30 Apr 2022","Size: 3 Ounce (Pack of 24) Color: Poultry & Beef - 24 cans","","Yes","linda s.","1.0","Purina Fancy Feast Gravy Wet Cat Food Variety Pack, Gravy Lovers Poultry & Beef Feast Collection - (30) 3 oz. Cans","https://www.amazon.com/product-reviews/B00JN9IWNG/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&filterByStar=all_stars&reviewerType=all_reviews&pageNumber=2&sortBy=recent#reviews-filter-bar
"
