brand,mean_rating,mean_rating_count,mean_price,mean_unit_price,occurrence,total_rating_count
Purina,4.629906542056072,6383.177570093458,24.610560747663545,4.816542056074767,107,683000
Others,4.443046357615896,3205.251655629139,26.57112582781454,7.025231788079474,151,483993
Blue Buffalo,4.519148936170213,2601.9148936170213,30.98510638297873,4.62595744680851,47,122290
Hill's,4.652380952380951,2883.0476190476193,39.41404761904762,4.145714285714286,42,121088
IAMS,4.7272727272727275,7780.818181818182,23.12909090909091,3.2090909090909094,11,85589
Meow Mix,4.655555555555555,7091.222222222223,13.901111111111113,2.4588888888888887,9,63821
Rachael Ray,4.457142857142857,6272.428571428572,17.462857142857143,5.438571428571429,7,43907
Friskies,4.7,14778.5,9.885,6.859999999999999,2,29557
Royal Canin,4.707692307692307,1865.0,40.75230769230769,7.534615384615384,13,24245
Wellness,4.4399999999999995,919.08,32.51800000000001,6.1979999999999995,25,22977
ORIJEN,4.625,2680.0,54.735,6.8925,4,10720
SHEBA,4.7,9377.0,22.56,5.78,1,9377
Natural Balance,4.6,1325.5,29.896666666666665,4.148333333333333,6,7953
TIKI,4.5,1918.5,27.6875,8.4675,4,7674
Fussie,4.533333333333333,1636.0,36.07,7.293333333333334,3,4908
ZIWI,4.3,1306.5,41.285,6.625,2,2613
Acana,4.6,2046.0,19.99,5.0,1,2046
Halo,4.6,973.0,29.99,5.0,1,973
Fromm,4.840000000000001,97.0,36.254000000000005,14.213999999999999,5,485
