brand,mean_rating,mean_rating_count,mean_price,mean_unit_price,occurrence,total_rating_count
Others,4.4740196078431405,2911.627450980392,43.04612745098027,5.787990196078432,204,593972
Purina,4.652173913043477,6273.413043478261,32.93152173913043,4.027826086956522,46,288577
Hill's,4.698113207547168,3484.264150943396,55.96018867924525,5.569245283018866,53,184666
Blue Buffalo,4.644444444444445,5993.148148148148,33.72185185185186,3.55962962962963,27,161815
IAMS,4.72,6055.2,31.024,4.866999999999999,10,60552
Rachael Ray,4.6000000000000005,5605.75,27.724999999999998,2.15875,8,44846
Royal Canin,4.764285714285714,3197.214285714286,59.19642857142857,3.985,14,44761
Taste of the Wild,4.7,7756.0,50.24,2.1125,4,31024
Nature's Recipe,4.628571428571428,4372.428571428572,18.018571428571427,3.7414285714285715,7,30607
Pedigree,4.699999999999999,7374.75,19.3325,8.8175,4,29499
Natural Balance,4.619999999999999,1970.2,46.754,2.793,10,19702
Merrick,4.654545454545455,1755.6363636363637,51.41272727272728,3.8145454545454553,11,19312
VICTOR,4.675000000000001,2171.0,59.24,1.51625,8,17368
ORIJEN,4.660000000000001,2205.2,86.39,4.638,5,11026
Kibbles,4.7,5141.0,21.0,0.68,1,5141
ZIWI,4.6,3892.0,49.98,22.72,1,3892
Fromm,4.7,173.0909090909091,49.21727272727273,6.445454545454546,11,1904
Cesar,4.7,1671.0,45.69,1.14,1,1671
Acana,4.6,784.5,47.989999999999995,4.29,2,1569
Halo,4.7,703.0,19.99,5.0,1,703
