brand,mean_rating,mean_rating_count,mean_price,mean_unit_price,occurrence,total_rating_count
Others,4.530967741935487,2321.1548387096773,28.813225806451563,12.174838709677418,155,359779
Aqueon,4.516666666666667,1280.3333333333333,8.248333333333333,2.6649999999999996,6,7682
Fluval,4.680000000000001,1348.6,12.144,2.0260000000000002,5,6743
Omega One,4.5,1694.0,25.990000000000002,0.5,2,3388
Zoo Med,4.625,389.75,23.8375,2.5075,4,1559
Aquatic Foods,4.466666666666667,39.285714285714285,29.62809523809524,5.41952380952381,21,825
API,4.75,358.0,26.18,-9.0,2,716
Piscine Energetics,4.7,296.0,13.38,0.0,1,296
Northfin,4.6,260.0,24.65,0.0,1,260
Amzey,4.4,202.0,11.95,11.95,1,202
GloFish,4.6,195.0,9.0,5.66,1,195
Carnivorous,3.8499999999999996,34.0,14.745000000000001,9.405,2,68
Sakura,4.5,58.0,12.49,12.49,1,58
Mazuri,4.25,25.0,41.59,1.705,2,50
Aqua Master,4.7,20.0,57.445,2.16,2,40
Gargeer,2.8333333333333335,5.333333333333333,14.9,4.97,3,16
